language;length;size_min_word;size_max_word;size_average_word;number_0;number_1;variance;ecart_type;is_code
['11', '110', '0110111', '000111'];4;2;7;4.5;6;12;17.0;4.123105625617661;1
['10', '010000', '10', '00', '10101'];5;2;6;3.4;11;6;15.2;3.8987177379235853;1
['0100000', '01', '1011110', '01101'];4;2;7;5.25;11;10;16.75;4.092676385936225;1
['1111'];1;4;4;4.0;0;4;0.0;0.0;1
['0', '010'];2;1;3;2.0;3;1;2.0;1.4142135623730951;1
['1', '00'];2;1;2;1.5;2;1;0.5;0.7071067811865476;1
['01100', '00', '10111', '1001', '00', '10111', '0001'];7;2;5;3.86;14;13;10.86;3.295017884191656;1
['11'];1;2;2;2.0;0;2;0.0;0.0;1
['0000011', '11111', '011001', '000110', '0'];5;1;7;5.0;13;12;22.0;4.69041575982343;1
['0'];1;1;1;1.0;1;0;0.0;0.0;1
['0', '110', '0001101', '0', '001110'];5;1;7;3.6;10;8;31.2;5.585696017507577;1
['1101100', '1001101', '110'];3;3;7;5.67;7;10;10.67;3.265986323710904;1
['0010', '000101', '111', '1001'];4;3;6;4.25;9;8;4.75;2.179449471770337;1
['111100', '0', '110', '001', '110', '1001010'];6;1;7;3.83;11;12;24.83;4.983305462575351;1
['10', '10'];2;2;2;2.0;2;2;0.0;0.0;1
['1001010', '001110', '11100', '10110', '111100'];5;5;7;5.8;13;16;2.8;1.6733200530681511;1
['000011'];1;6;6;6.0;4;2;0.0;0.0;1
['1001', '0110111', '100110', '1', '1101', '00'];6;1;7;4.0;10;14;26.0;5.0990195135927845;1
['1111', '11110', '110011', '011100'];4;4;6;5.25;6;15;2.75;1.6583123951777;1
['000101'];1;6;6;6.0;4;2;0.0;0.0;1
['1', '1110', '0010', '1101111', '0111'];5;1;7;4.0;6;14;18.0;4.242640687119285;1
['001', '110', '00101', '100', '1010'];5;3;5;3.6;10;8;3.2;1.7888543819998317;1
['11111', '00011', '111011', '100110', '1101011'];5;5;7;5.8;9;20;2.8;1.6733200530681511;1
['010101', '000100', '10', '001110'];4;2;6;5.0;12;8;12.0;3.4641016151377544;1
['101', '001110', '0100010', '1010000', '00'];5;2;7;5.0;16;9;22.0;4.69041575982343;1
['0111100'];1;7;7;7.0;3;4;0.0;0.0;1
['11'];1;2;2;2.0;0;2;0.0;0.0;1
['1000', '1001', '1111111', '0', '0010010', '1100100', '001'];7;1;7;4.71;17;16;33.43;5.7817446699565895;1
['00100', '111111', '0', '00110'];4;1;6;4.25;8;9;14.75;3.840572873934304;1
['11110', '111111'];2;5;6;5.5;1;10;0.5;0.7071067811865476;1
['0', '011001', '1010', '1000110'];4;1;7;4.5;10;8;21.0;4.58257569495584;1
['1011', '01010', '01', '001001', '1101101'];5;2;7;4.8;11;13;14.8;3.847076812334269;1
['110000', '1', '00011', '001'];4;1;6;3.75;9;6;14.75;3.840572873934304;1
['01100', '11', '0', '0101001', '0'];5;1;7;3.2;9;7;28.8;5.366563145999495;1
['0011101', '001010', '01111', '01', '100', '011'];6;2;7;4.33;12;14;19.33;4.39696865275764;1
['0010110'];1;7;7;7.0;4;3;0.0;0.0;1
['0100010', '01'];2;2;7;4.5;6;3;12.5;3.5355339059327378;1
['11100'];1;5;5;5.0;2;3;0.0;0.0;1
['001001', '1000', '1', '1011010', '111000'];5;1;7;4.8;13;11;22.8;4.774934554525329;1
['011', '011010', '0101', '0110'];4;3;6;4.25;8;9;4.75;2.179449471770337;1
['001111', '0100', '110000', '1110', '10'];5;2;6;4.4;11;11;11.2;3.3466401061363023;1
['10000', '001', '0110', '000010', '0110'];5;3;6;4.4;15;7;5.2;2.2803508501982757;1
['1101', '000011', '111', '0', '0', '1001101', '001000', '0101010', '10100', '110010'];10;1;7;4.6;25;21;46.4;6.811754546370561;1
['101', '1'];2;1;3;2.0;1;3;2.0;1.4142135623730951;1
['0000', '100', '100'];3;3;4;3.33;8;2;0.67;0.816496580927726;1
['0001'];1;4;4;4.0;3;1;0.0;0.0;1
['01111'];1;5;5;5.0;1;4;0.0;0.0;1
['11', '0110'];2;2;4;3.0;2;4;2.0;1.4142135623730951;1
['010010'];1;6;6;6.0;4;2;0.0;0.0;1
['111', '11011'];2;3;5;4.0;1;7;2.0;1.4142135623730951;1
['1', '01', '010010', '001010', '0110', '0100010', '01111', '1', '000'];9;1;7;3.89;20;15;40.89;6.394442031083626;1
['0110101', '101000', '0011100'];3;6;7;6.67;11;9;0.67;0.816496580927726;1
['01010', '001', '111100'];3;3;6;4.67;7;7;4.67;2.1602468994692865;1
['0000', '010', '11100'];3;3;5;4.0;8;4;2.0;1.4142135623730951;1
['1'];1;1;1;1.0;0;1;0.0;0.0;1
['0', '100', '00111', '01'];4;1;5;2.75;6;5;8.75;2.958039891549808;1
['011001', '001001', '0', '001111', '0', '10100', '01101'];7;1;6;4.29;16;14;31.43;5.606119105813881;1
['001011', '101', '101'];3;3;6;4.0;5;7;6.0;2.449489742783178;1
['1', '000001'];2;1;6;3.5;5;2;12.5;3.5355339059327378;1
['1001110', '0', '0111', '10100'];4;1;7;4.25;8;9;18.75;4.330127018922194;1
['10'];1;2;2;2.0;1;1;0.0;0.0;1
['101'];1;3;3;3.0;1;2;0.0;0.0;1
['00', '1100001', '100', '101010'];4;2;7;4.5;11;7;17.0;4.123105625617661;1
['11', '011', '0011001', '01', '0001011', '00'];6;2;7;3.83;12;11;30.83;5.552777082985894;1
['11100', '011', '11', '10101', '0010000'];5;2;7;4.4;11;11;15.2;3.8987177379235853;1
['1100001', '010', '101010'];3;3;7;5.33;9;7;8.67;2.943920288775949;1
['0111100', '1'];2;1;7;4.0;3;5;18.0;4.242640687119285;1
['1000', '11', '0111001', '1110101'];4;2;7;5.0;8;12;18.0;4.242640687119285;1
['011'];1;3;3;3.0;1;2;0.0;0.0;1
['1100001', '000110', '0101', '00', '00101', '1011101'];6;2;7;5.17;17;14;18.83;4.339738855430513;1
['10', '001001', '01111', '0110001', '110100', '101'];6;2;7;4.83;14;15;18.83;4.339738855430513;1
['1110', '1100', '0'];3;1;4;3.0;4;5;6.0;2.449489742783178;1
['110010', '0100010', '1', '1011001', '0001111'];5;1;7;5.6;14;14;27.2;5.215361924162119;1
['101', '011', '0'];3;1;3;2.33;3;4;2.67;1.632993161855452;1
['111110', '11010', '10', '0'];4;1;6;3.5;5;9;17.0;4.123105625617661;1
['011', '000001', '0011101'];3;3;7;5.33;9;7;8.67;2.943920288775949;1
['1001000', '1011010', '1010010', '0000', '011100', '10101', '1111100'];7;4;7;6.14;23;20;8.86;2.9760952365713798;1
['010', '01', '101011'];3;2;6;3.67;5;6;8.67;2.9439202887759492;1
['011010', '101'];2;3;6;4.5;4;5;4.5;2.1213203435596424;1
['1100', '0', '0101', '100'];4;1;4;3.0;7;5;6.0;2.449489742783178;1
['0', '1111111'];2;1;7;4.0;1;7;18.0;4.242640687119285;1
['0010', '100001'];2;4;6;5.0;7;3;2.0;1.4142135623730951;1
['1011', '01', '000111', '000011', '0', '1000101', '11000'];7;1;7;4.43;17;14;29.71;5.451081150953975;1
['01', '01', '0', '10110'];4;1;5;2.5;5;5;9.0;3.0;1
['1101', '1011011', '10101', '1101001', '10101', '01001'];6;4;7;5.5;13;20;7.5;2.7386127875258306;1
['1000101', '11011', '1111'];3;4;7;5.33;5;11;4.67;2.1602468994692865;1
['1'];1;1;1;1.0;0;1;0.0;0.0;1
['01', '10', '00010', '11000', '000110'];5;2;6;4.0;13;7;14.0;3.7416573867739413;1
['0101100', '110', '100001', '01011'];4;3;7;5.25;11;10;8.75;2.958039891549808;1
['001010', '0'];2;1;6;3.5;5;2;12.5;3.5355339059327378;1
['110', '1110101', '0000000', '111000'];4;3;7;5.75;13;10;10.75;3.278719262151;1
['0110', '0', '011101', '10010', '11', '110010'];6;1;6;4.0;11;13;22.0;4.69041575982343;1
['0110111', '1000', '1000', '0110', '110100'];5;4;7;5.0;13;12;8.0;2.8284271247461903;1
['0100', '011', '0111111', '1110101'];4;3;7;5.25;7;14;12.75;3.570714214271425;1
['0001', '1001', '00'];3;2;4;3.33;7;3;2.67;1.632993161855452;1
['0011'];1;4;4;4.0;2;2;0.0;0.0;1
['10'];1;2;2;2.0;1;1;0.0;0.0;1
['110', '100110', '1110', '010110', '10', '000001'];6;2;6;4.5;14;13;15.5;3.9370039370059056;1
['101110'];1;6;6;6.0;2;4;0.0;0.0;1
['101', '0001101'];2;3;7;5.0;5;5;8.0;2.8284271247461903;1
['1001111', '00'];2;2;7;4.5;4;5;12.5;3.5355339059327378;1
['1100', '1100010'];2;4;7;5.5;6;5;4.5;2.1213203435596424;1
['1101110', '01101', '110'];3;3;7;5.0;5;10;8.0;2.8284271247461903;1
['1001', '1001', '0110', '1110'];4;4;4;4.0;7;9;0.0;0.0;1
['000111', '111100', '000010', '1', '100001', '10'];6;1;6;4.5;15;12;27.5;5.244044240850758;1
['11100', '1', '011'];3;1;5;3.0;3;6;8.0;2.8284271247461903;1
['1'];1;1;1;1.0;0;1;0.0;0.0;1
['0000010', '000', '001010', '010001'];4;3;7;5.5;17;5;9.0;3.0;1
['1100000', '0101001', '10', '11'];4;2;7;4.5;10;8;25.0;5.0;1
['1000101', '110000', '0111011', '1', '1001100', '0011', '01011', '110', '00'];9;1;7;4.67;21;21;42.0;6.48074069840786;1
['1000', '100110', '1110', '01101', '100', '00'];6;2;6;4.0;13;11;10.0;3.1622776601683795;1
['0'];1;1;1;1.0;1;0;0.0;0.0;1
['1111100'];1;7;7;7.0;2;5;0.0;0.0;1
['110', '0110'];2;3;4;3.5;3;4;0.5;0.7071067811865476;1
['0111101', '111101', '1110100', '0101011', '1001010', '0001101'];6;6;7;6.83;17;24;0.83;0.9128709291752769;1
['110111', '1011111', '011'];3;3;7;5.33;3;13;8.67;2.943920288775949;1
['101111', '10100', '1'];3;1;6;4.0;4;8;14.0;3.7416573867739413;1
['000001'];1;6;6;6.0;5;1;0.0;0.0;1
['1101', '11101', '00100', '100101', '01000'];5;4;6;5.0;13;12;2.0;1.4142135623730951;1
['110100', '11110', '011001', '01110', '10'];5;2;6;4.8;10;14;10.8;3.286335345030997;1
['00', '1011101', '100', '0101'];4;2;7;4.0;8;8;14.0;3.7416573867739413;1
['1111', '10000', '111011', '1111'];4;4;6;4.75;5;14;2.75;1.6583123951777;1
['0011', '110001', '0'];3;1;6;3.67;6;5;12.67;3.559026084010437;1
['00000', '1101100'];2;5;7;6.0;8;4;2.0;1.4142135623730951;1
['1001', '0100', '0001'];3;4;4;4.0;8;4;0.0;0.0;1
['0100011', '000', '100011'];3;3;7;5.33;10;6;8.67;2.943920288775949;1
['000011'];1;6;6;6.0;4;2;0.0;0.0;1
['1000', '01'];2;2;4;3.0;4;2;2.0;1.4142135623730951;1
['01', '101', '101000'];3;2;6;3.67;6;5;8.67;2.9439202887759492;1
['100100', '101001', '010'];3;3;6;5.0;9;6;6.0;2.449489742783178;1
['1'];1;1;1;1.0;0;1;0.0;0.0;1
['0'];1;1;1;1.0;1;0;0.0;0.0;1
['11', '0', '00001', '0011', '0'];5;1;5;2.6;8;5;13.2;3.63318042491699;1
['00', '10111'];2;2;5;3.5;3;4;4.5;2.1213203435596424;1
['1011110', '0', '1000000', '0001', '1001011'];5;1;7;5.2;15;11;28.8;5.366563145999495;1
['01101', '1001110'];2;5;7;6.0;5;7;2.0;1.4142135623730951;1
['1110111', '1100001', '01', '1'];4;1;7;4.25;6;11;30.75;5.545268253204709;1
['0', '000101'];2;1;6;3.5;5;2;12.5;3.5355339059327378;1
['010000'];1;6;6;6.0;5;1;0.0;0.0;1
['111111', '10'];2;2;6;4.0;1;7;8.0;2.8284271247461903;1
['011', '000101', '01'];3;2;6;3.67;6;5;8.67;2.9439202887759492;1
['00010', '01001', '1', '101110', '10'];5;1;6;3.8;10;9;18.8;4.33589667773576;1
['110', '011', '101110'];3;3;6;4.0;4;8;6.0;2.449489742783178;1
['110001', '0100101', '011100', '000000', '1011010', '10111', '0011', '0001001', '011110'];9;4;7;6.0;29;25;8.0;2.8284271247461903;1
['101111', '1', '0111', '11010', '101111', '0111'];6;1;6;4.33;6;20;17.33;4.163331998932265;1
['0'];1;1;1;1.0;1;0;0.0;0.0;1
['1011100', '00011'];2;5;7;6.0;6;6;2.0;1.4142135623730951;1
['11000', '10001', '001111', '001'];4;3;6;4.75;10;9;4.75;2.179449471770337;1
['000110', '11101', '1', '01'];4;1;6;3.5;6;8;17.0;4.123105625617661;1
['1110111'];1;7;7;7.0;1;6;0.0;0.0;1
['10101', '001101', '1'];3;1;6;4.0;5;7;14.0;3.7416573867739413;1
['0111', '0', '1111001', '01', '0010', '01', '101000', '1000011', '0010', '001100'];10;1;7;4.3;24;19;42.1;6.488451279003334;1
['0011', '1000010', '1100'];3;4;7;5.0;9;6;6.0;2.449489742783178;1
['0111'];1;4;4;4.0;1;3;0.0;0.0;1
['001010', '001001', '011', '11'];4;2;6;4.25;9;8;12.75;3.570714214271425;1
['000000', '111', '01', '001111', '00010', '101111'];6;2;6;4.67;14;14;15.33;3.9157800414902435;1
['010110', '1111', '01'];3;2;6;4.0;4;8;8.0;2.8284271247461903;1
['010100', '101', '1', '0011'];4;1;6;3.5;7;7;13.0;3.605551275463989;1
['010', '001', '110', '111100', '100010', '1'];6;1;6;3.67;11;11;19.33;4.39696865275764;1
['1100011', '1010'];2;4;7;5.5;5;6;4.5;2.1213203435596424;1
['1101011', '011110', '1', '11010'];4;1;7;4.75;6;13;20.75;4.55521678957215;1
['0110100', '00011', '001100', '10111', '100100', '0111101', '0011100', '000000'];8;5;7;6.12;28;21;4.88;2.207940216581962;1
['1', '0010010', '10'];3;1;7;3.33;6;4;20.67;4.546060565661952;1
['101010', '0100', '01', '0', '11', '101000', '0101110'];7;1;7;4.0;15;13;34.0;5.830951894845301;1
['1', '01', '1'];3;1;2;1.33;1;3;0.67;0.816496580927726;1
['1'];1;1;1;1.0;0;1;0.0;0.0;1
['00011', '1010', '10001', '01', '1101100', '01', '1001011', '0110', '11', '101000'];10;2;7;4.4;22;22;34.4;5.865151319446072;1
['00101', '1100'];2;4;5;4.5;5;4;0.5;0.7071067811865476;1
['1101', '0101', '11111', '10001', '1001'];5;4;5;4.4;8;14;1.2;1.0954451150103324;1
['11111', '0000111', '1001', '0100', '100111', '0101000'];6;4;7;5.5;16;17;9.5;3.082207001484488;1
['1', '10', '001', '11100'];4;1;5;2.75;5;6;8.75;2.958039891549808;1
['010101'];1;6;6;6.0;3;3;0.0;0.0;1
['01100', '11011', '011', '0001000', '001'];5;3;7;4.6;13;10;11.2;3.3466401061363023;1
['11', '110', '1001000', '11'];4;2;7;3.5;6;8;17.0;4.123105625617661;1
['01110', '0001'];2;4;5;4.5;5;4;0.5;0.7071067811865476;1
['100010', '00000', '1110000', '110111'];4;5;7;6.0;14;10;2.0;1.4142135623730951;1
['0010100', '011111', '00100', '111110', '001', '010000', '0001101'];7;3;7;5.71;22;18;11.43;3.3806170189140663;1
['0010', '011010'];2;4;6;5.0;6;4;2.0;1.4142135623730951;1
['1110', '1000011', '101', '0001', '10100', '011', '10101'];7;3;7;4.43;15;16;11.71;3.422613871631697;1
['111110'];1;6;6;6.0;1;5;0.0;0.0;1
['1', '000', '0010111', '1110001'];4;1;7;4.5;9;9;27.0;5.196152422706632;1
['00000', '00000', '0111'];3;4;5;4.67;11;3;0.67;0.816496580927726;1
['1'];1;1;1;1.0;0;1;0.0;0.0;1
['1111', '0'];2;1;4;2.5;1;4;4.5;2.1213203435596424;1
['1111'];1;4;4;4.0;0;4;0.0;0.0;1
['110', '0'];2;1;3;2.0;2;2;2.0;1.4142135623730951;1
['110010', '1110001', '110110', '0000'];4;4;7;5.75;12;11;4.75;2.179449471770337;1
['0010', '0011111'];2;4;7;5.5;5;6;4.5;2.1213203435596424;1
['0', '1001000'];2;1;7;4.0;6;2;18.0;4.242640687119285;1
['10', '0010010', '1000', '1001001'];4;2;7;5.0;13;7;18.0;4.242640687119285;1
['10', '001110'];2;2;6;4.0;4;4;8.0;2.8284271247461903;1
['00101'];1;5;5;5.0;3;2;0.0;0.0;1
['000', '11', '010', '110100'];4;2;6;3.5;8;6;9.0;3.0;1
['110000', '0011', '0', '010000'];4;1;6;4.25;12;5;16.75;4.092676385936225;1
['00', '0010010', '11110'];3;2;7;4.67;8;6;12.67;3.559026084010437;1
['11', '110', '0011'];3;2;4;3.0;3;6;2.0;1.4142135623730951;1
['11111', '1010111', '0110110', '0', '0', '0', '0000110'];7;1;7;4.14;13;16;54.86;7.406560798180411;1
['1010100', '0111', '1011010', '1000', '001', '0000111', '10000', '10011'];8;3;7;5.25;23;19;17.5;4.183300132670378;1
['0111111', '00'];2;2;7;4.5;3;6;12.5;3.5355339059327378;1
['001010', '10'];2;2;6;4.0;5;3;8.0;2.8284271247461903;1
['0101000'];1;7;7;7.0;5;2;0.0;0.0;1
['110001'];1;6;6;6.0;3;3;0.0;0.0;1
['0'];1;1;1;1.0;1;0;0.0;0.0;1
['1110001', '1'];2;1;7;4.0;3;5;18.0;4.242640687119285;1
['11100', '0100000', '0101111', '110', '0', '10', '0001010', '1001', '110011'];9;1;7;4.67;22;20;42.0;6.48074069840786;1
['110001', '0000011', '11', '0100111', '1100010', '0000'];6;2;7;5.5;19;14;21.5;4.636809247747852;1
['0', '10100', '110101', '1011', '110110', '00101', '101001'];7;1;6;4.71;15;18;19.43;4.4077853201547175;1
['01000', '00'];2;2;5;3.5;6;1;4.5;2.1213203435596424;1
['101100', '010'];2;3;6;4.5;5;4;4.5;2.1213203435596424;1
['110', '1011', '1011101', '0110000', '0010000', '10111', '100100'];7;3;7;5.57;20;19;15.71;3.96412483586046;1
['00001', '01', '111110', '110111', '1111'];5;2;6;4.6;7;16;11.2;3.3466401061363023;1
['00101'];1;5;5;5.0;3;2;0.0;0.0;1
['0010101', '01010', '00010', '0100000', '11', '000001', '11'];7;2;7;4.86;22;12;26.86;5.18238775634773;1
['010', '001', '10100', '1110010'];4;3;7;4.5;10;8;11.0;3.3166247903554;1
['1', '00'];2;1;2;1.5;2;1;0.5;0.7071067811865476;1
['01', '000', '00100', '00010', '010010'];5;2;6;4.2;16;5;10.8;3.286335345030997;1
['110', '1010100', '000111', '100', '1100100'];5;3;7;5.2;14;12;16.8;4.098780306383839;1
['0', '10', '1100', '000001'];4;1;6;3.25;9;4;14.75;3.840572873934304;1
['11', '00111', '000001', '11'];4;2;6;3.75;7;8;12.75;3.570714214271425;1
['1110', '11', '0'];3;1;4;2.33;2;5;4.67;2.1602468994692865;1
['0', '11'];2;1;2;1.5;1;2;0.5;0.7071067811865476;1
['0000100', '0011', '10000', '01'];4;2;7;4.5;13;5;13.0;3.605551275463989;1
['1'];1;1;1;1.0;0;1;0.0;0.0;1
['010', '0110', '000001', '01100'];4;3;6;4.5;12;6;5.0;2.23606797749979;1
['0111010'];1;7;7;7.0;3;4;0.0;0.0;1
['10001'];1;5;5;5.0;3;2;0.0;0.0;1
['10010', '1', '100001', '0000', '0101011', '1', '01001'];7;1;7;4.14;17;12;32.86;5.732115042211108;1
['1', '1', '000100'];3;1;6;2.67;5;3;16.67;4.08248290463863;1
['000'];1;3;3;3.0;3;0;0.0;0.0;1
['0110010', '11110', '000'];3;3;7;5.0;8;7;8.0;2.8284271247461903;1
['11000', '1', '10'];3;1;5;2.67;4;4;8.67;2.9439202887759492;1
['010011', '101', '1100111'];3;3;7;5.33;6;10;8.67;2.943920288775949;1
['1101'];1;4;4;4.0;1;3;0.0;0.0;1
['111'];1;3;3;3.0;0;3;0.0;0.0;1
['0111', '11010', '1', '1110100', '10'];5;1;7;3.8;7;12;22.8;4.774934554525329;1
['1001', '1111', '110000', '010', '00', '10101'];6;2;6;4.0;12;12;10.0;3.1622776601683795;1
['001100', '0001001', '111', '10011', '0001111', '111011', '1011', '0', '110'];9;1;7;4.67;18;24;34.0;5.830951894845301;1
['10', '0011111', '0110', '1001101', '100101', '11', '11100', '0110100'];8;2;7;5.0;17;23;32.0;5.656854249492381;1
['0101', '10110'];2;4;5;4.5;4;5;0.5;0.7071067811865476;1
['000', '001110', '0110110'];3;3;7;5.33;9;7;8.67;2.943920288775949;1
['00000', '00010', '1011111', '10110', '100111', '101'];6;3;7;5.17;15;16;8.83;2.9720924166878344;1
['0101110', '11'];2;2;7;4.5;3;6;12.5;3.5355339059327378;1
['0011', '0', '001011', '0111', '0'];5;1;6;3.2;8;8;18.8;4.33589667773576;1
['100100', '0', '1111'];3;1;6;3.67;5;6;12.67;3.559026084010437;1
['11000', '10', '110110', '011', '10000', '0101101'];6;2;7;4.67;14;14;17.33;4.163331998932265;1
['1001'];1;4;4;4.0;2;2;0.0;0.0;1
['110011', '0101111', '101011', '1', '010', '110010'];6;1;7;4.83;11;18;26.83;5.180090089306685;1
['0', '10', '10010', '000111'];4;1;6;3.5;8;6;17.0;4.123105625617661;1
['00', '1', '1110', '011010', '1010101', '010111'];6;1;7;4.33;11;15;29.33;5.41602560309064;1
['1', '011100'];2;1;6;3.5;3;4;12.5;3.5355339059327378;1
['0', '0'];2;1;1;1.0;2;0;0.0;0.0;1
['0111010', '0'];2;1;7;4.0;4;4;18.0;4.242640687119285;1
['10100', '1', '11100', '1', '000001', '1', '0', '1101', '0110101'];9;1;7;3.44;15;16;48.22;6.944222218666553;1
['01111'];1;5;5;5.0;1;4;0.0;0.0;1
['10001', '11', '11', '0010001', '110'];5;2;7;3.8;9;10;18.8;4.33589667773576;1
['011001'];1;6;6;6.0;3;3;0.0;0.0;1
['001', '0110', '11', '111101', '000', '0010', '100011', '0011110'];8;2;7;4.38;17;18;21.88;4.677071733467427;1
['0', '011100', '0111110', '011010'];4;1;7;5.0;9;11;22.0;4.69041575982343;1
['101100', '011'];2;3;6;4.5;4;5;4.5;2.1213203435596424;1
['00', '1000100', '01', '1000', '001111', '001001'];6;2;7;4.5;17;10;23.5;4.847679857416329;1
['1001', '1111', '1010011', '1011', '0101100', '0110'];6;4;7;5.0;12;18;12.0;3.4641016151377544;1
['010', '110', '00', '1101111', '1'];5;1;7;3.2;6;10;20.8;4.560701700396552;1
['01111', '0', '11'];3;1;5;2.67;2;6;8.67;2.9439202887759492;1
['011', '1100', '10', '101101'];4;2;6;3.75;6;9;8.75;2.958039891549808;1
['01', '11', '00001', '1111011'];4;2;7;4.0;6;10;18.0;4.242640687119285;1
['0011101', '0000'];2;4;7;5.5;7;4;4.5;2.1213203435596424;1
['010001', '001101', '01010'];3;5;6;5.67;10;7;0.67;0.816496580927726;1
['001100', '10', '01111', '10010', '1011'];5;2;6;4.4;10;12;9.2;3.03315017762062;1
['100110', '0010', '00011', '1011'];4;4;6;4.75;10;9;2.75;1.6583123951777;1
['1010101'];1;7;7;7.0;3;4;0.0;0.0;1
['100', '0011100'];2;3;7;5.0;6;4;8.0;2.8284271247461903;1
['01', '10110', '1'];3;1;5;2.67;3;5;8.67;2.9439202887759492;1
['01011', '101', '0000', '1100100', '0111100', '10100'];6;3;7;5.17;17;14;12.83;3.582364210034113;1
['11', '0', '001', '11100', '10001'];5;1;5;3.2;8;8;12.8;3.5777087639996634;1
['010', '0011', '011110'];3;3;6;4.33;6;7;4.67;2.1602468994692865;1
['0', '100', '00010'];3;1;5;3.0;7;2;8.0;2.8284271247461903;1
['0111', '01'];2;2;4;3.0;2;4;2.0;1.4142135623730951;1
['1000010'];1;7;7;7.0;5;2;0.0;0.0;1
['0011', '001', '00101', '00010', '011', '111'];6;3;5;3.83;12;11;4.83;2.1984843263788196;1
['00101', '0010', '001100'];3;4;6;5.0;10;5;2.0;1.4142135623730951;1
['00', '10101', '0010', '1011'];4;2;5;3.75;8;7;4.75;2.179449471770337;1
['010', '10101', '11', '100'];4;2;5;3.25;6;7;4.75;2.179449471770337;1
['0000010'];1;7;7;7.0;6;1;0.0;0.0;1
['0010', '1010', '01'];3;2;4;3.33;6;4;2.67;1.632993161855452;1
['100000', '100001', '001100', '0010011', '101'];5;3;7;5.6;18;10;9.2;3.03315017762062;1
['00'];1;2;2;2.0;2;0;0.0;0.0;1
['1', '010', '01001', '010', '110', '111001', '1001111', '010', '1010100', '00011'];10;1;7;4.3;21;22;36.1;6.00832755431992;1
['01000', '01110'];2;5;5;5.0;6;4;0.0;0.0;1
['010100', '11', '0001', '1011', '111000', '10111'];6;2;6;4.5;12;15;11.5;3.391164991562634;1
['0', '1011001', '0', '101101', '1010'];5;1;7;3.8;9;10;30.8;5.549774770204643;1
['01', '100'];2;2;3;2.5;3;2;0.5;0.7071067811865476;1
['00111', '011110'];2;5;6;5.5;4;7;0.5;0.7071067811865476;1
['1010111'];1;7;7;7.0;2;5;0.0;0.0;1
['100', '0010', '101101', '01001'];4;3;6;4.5;10;8;5.0;2.23606797749979;1
['0', '000001', '00010'];3;1;6;4.0;10;2;14.0;3.7416573867739413;1
['1001'];1;4;4;4.0;2;2;0.0;0.0;1
['1110110', '0100'];2;4;7;5.5;5;6;4.5;2.1213203435596424;1
['110111'];1;6;6;6.0;1;5;0.0;0.0;1
['0100'];1;4;4;4.0;3;1;0.0;0.0;1
['10110', '00111', '0010', '0001101', '01'];5;2;7;4.6;12;11;13.2;3.63318042491699;1
